,country,label_name,tfidf,country_label_count,num_country_labels,num_articles,label_count,label_count_project,idf,tf,lda
104,5,describe,5.0054264452994515,799,80831,4051,8,2050,506.375,0.009884821417525454,1
105,5,find,4.761106506167189,760,80831,4051,8,1718,506.375,0.009402333263228218,1
106,5,place,4.129633432717646,824,80831,4051,10,2310,405.1,0.01019410869592112,1
107,5,episode,4.0544580668307955,809,80831,4051,10,2155,405.1,0.01000853632888372,1
108,5,chinese,3.768791676460764,752,80831,4051,10,1552,405.1,0.009303361334141605,1
109,5,banana,3.723686456928654,743,80831,4051,10,1487,405.1,0.009192017913919165,1
110,5,india,3.6936163105739137,737,80831,4051,10,1452,405.1,0.009117788967104206,1
111,5,long,3.5833591072731994,715,80831,4051,10,1379,405.1,0.008845616162116019,1
112,5,crop,3.417062085765924,750,80831,4051,11,1540,368.27272727272725,0.00927861835186995,1
113,5,root,3.371501257955712,740,80831,4051,11,1479,368.27272727272725,0.009154903440511685,1
114,5,harvest,3.3669451751746906,739,80831,4051,11,1462,368.27272727272725,0.009142531949375858,1
115,5,green,3.3213843473644786,729,80831,4051,11,1425,368.27272727272725,0.009018817038017593,1
116,5,seed,3.316068917453287,794,80831,4051,12,1981,337.5833333333333,0.009822963961846322,1
117,5,area,3.257599188430181,780,80831,4051,12,2302,337.5833333333333,0.009649763085944748,1
118,5,juice,3.239374857306096,711,80831,4051,11,1363,368.27272727272725,0.008796130197572713,1
119,5,tree,3.182423822543331,762,80831,4051,12,1745,337.5833333333333,0.00942707624549987,1
120,6,shell,3.723051957899846,303,32969,4051,10,1291,405.1,0.009190451636385696,1
121,6,milk,3.6861900573265793,330,32969,4051,11,2759,368.27272727272725,0.010009402772301253,1
122,6,early,3.409725803027086,333,32969,4051,12,2030,337.5833333333333,0.010100397342958537,1
123,6,bird,3.4069332348018384,305,32969,4051,11,1364,368.27272727272725,0.009251114683490552,1
124,6,male,3.4069332348018384,305,32969,4051,11,1310,368.27272727272725,0.009251114683490552,1
125,6,animal,3.327810468419828,325,32969,4051,12,1697,337.5833333333333,0.009857745154539112,1
126,6,farm,3.2868528011162,321,32969,4051,12,1622,337.5833333333333,0.0097364190603294,1
127,6,population,3.245895133812571,317,32969,4051,12,1924,337.5833333333333,0.009615092966119688,1
128,6,live,3.1230221319016853,305,32969,4051,12,1389,337.5833333333333,0.009251114683490552,1
129,6,female,3.1025432982498713,303,32969,4051,12,1304,337.5833333333333,0.009190451636385696,1
130,6,range,3.051346214120335,298,32969,4051,12,1273,337.5833333333333,0.009038794018623555,1
131,6,offer,2.9401754028676286,335,32969,4051,14,3958,289.35714285714283,0.010161060390063393,1
132,6,introduce,2.8787389019121856,328,32969,4051,14,2473,289.35714285714283,0.009948739725196396,1
133,6,water,2.8524089729312814,325,32969,4051,14,1677,289.35714285714283,0.009857745154539112,1
134,6,small,2.8524089729312814,325,32969,4051,14,2684,289.35714285714283,0.009857745154539112,1
135,6,write,2.834855686944012,323,32969,4051,14,2258,289.35714285714283,0.009797082107434256,1
136,6,plant,2.834855686944012,323,32969,4051,14,2419,289.35714285714283,0.009797082107434256,1
137,6,begin,2.773419185988569,316,32969,4051,14,2193,289.35714285714283,0.00958476144256726,1
138,6,human,2.604907640510783,318,32969,4051,15,1547,270.06666666666666,0.009645424489672117,1
139,6,sell,2.572653477509175,335,32969,4051,16,4037,253.1875,0.010161060390063393,1
140,7,market,2.874296732833603,85,8557,4051,14,2549,289.35714285714283,0.00993338786958046,1
141,7,use,2.8066662214728124,83,8557,4051,14,1733,289.35714285714283,0.009699661096178567,1
142,7,drink,2.6375899430708354,78,8557,4051,14,1572,289.35714285714283,0.009115344162673834,1
143,7,available,2.6375899430708354,78,8557,4051,14,2922,289.35714285714283,0.009115344162673834,1
144,7,state,2.544597989949749,86,8557,4051,16,3463,253.1875,0.010050251256281407,1
145,7,new,2.544597989949749,86,8557,4051,16,3618,253.1875,0.010050251256281407,1
146,7,product,2.5150096412294025,85,8557,4051,16,2911,253.1875,0.00993338786958046,1
147,7,include,2.485421292509057,84,8557,4051,16,1865,253.1875,0.009816524482879514,1
148,7,year,2.485421292509057,84,8557,4051,16,1800,253.1875,0.009816524482879514,1
149,7,produce,2.4558329437887108,83,8557,4051,16,1765,253.1875,0.009699661096178567,1
150,7,usually,2.367067897627673,70,8557,4051,14,1759,289.35714285714283,0.008180437069066262,1
151,7,launch,2.2783028514666355,77,8557,4051,16,1980,253.1875,0.008998480775972888,1
152,7,world,2.2618648799553323,86,8557,4051,18,3730,225.05555555555554,0.010050251256281407,1
153,7,time,2.1566618622829914,82,8557,4051,18,1696,225.05555555555554,0.009582797709477621,1
154,7,create,1.9528310155428303,66,8557,4051,16,1298,253.1875,0.007712983522262475,1
155,7,country,1.9434873264732475,78,8557,4051,19,1555,213.21052631578948,0.009115344162673834,1
156,7,business,1.9409956760546923,82,8557,4051,20,1702,202.55,0.009582797709477621,1
157,7,company,1.9161978218890687,85,8557,4051,21,2083,192.9047619047619,0.00993338786958046,1
158,7,history,1.8379586028638404,66,8557,4051,17,1316,238.2941176470588,0.007712983522262475,1
159,7,like,1.7753009232207548,60,8557,4051,16,1550,253.1875,0.007011803202056795,1
160,8,cuisine,4.55948906542423,774,76409,4051,9,1626,450.1111111111111,0.010129696763470272,1
161,8,sauce,4.553598252678204,773,76409,4051,9,1575,450.1111111111111,0.010116609299951576,1
162,8,spice,4.453454435995759,756,76409,4051,9,1283,450.1111111111111,0.009894122420133754,1
